security_id,trading_symbol,company_name,lot_size,tick_size
13761,BBL,BHARAT BIJLEE LTD,1.0,10.0
24117,BBNPNBETF,BARODABNP - BBNPNBETF,1.0,1.0
20547,BBNPPGOLD,BARODABNP - BBNPPGOLD,1.0,5.0
3435,BBOX,BLACK BOX LIMITED,1.0,5.0
380,BBTC,BOMBAY BURMAH TRADING COR,1.0,10.0
12153,BBTCL,B&B TRIPLEWALL CONT LTD,1.0,1.0
2513,BCLIND,BCL INDUSTRIES LIMITED,1.0,1.0
7780,BCONCEPTS,BRAND CONCEPTS LIMITED,1.0,5.0
2144,BDL,BHARAT DYNAMICS LIMITED,1.0,10.0
17933,BEARDSELL,BEARDSELL LIMITED,1.0,1.0
1628,BECTORFOOD,MRS BECTORS FOOD SPE LTD,1.0,10.0
20196,BEDMUTHA,BEDMUTHA INDUST LTD,1.0,1.0
383,BEL,BHARAT ELECTRONICS LTD,1.0,5.0
757102,BELRISE,BELRISE INDUSTRIES LTD,1.0,1.0
395,BEML,BEML LIMITED,1.0,10.0
419,BEPL,BHANSALI ENG. POLYMERS LT,1.0,1.0
404,BERGEPAINT,BERGER PAINTS (I) LTD,1.0,5.0
21113,BFINVEST,BF INVESTMENT LIMITED,1.0,5.0
5220,BFSI,MIRAEAMC - MAFSETF,1.0,1.0
14567,BFUTILITIE,BF UTILITIES LIMITED,1.0,5.0
6164,BHAGCHEM,BHAGIRADHA CHEM & INDS L,1.0,5.0
13400,BHAGERIA,BHAGERIA INDUSTRIES LTD,1.0,1.0
20776,BHAGYANGR,BHAGYANAGAR INDIA LIMITED,1.0,1.0
19556,BHANDARI,BHANDARI HOSIERY EXP LTD,1.0,1.0
422,BHARATFORG,BHARAT FORGE LTD,1.0,10.0
426,BHARATGEAR,BHARAT GEARS LTD.,1.0,1.0
3834,BHARATRAS,BHARAT RASAYAN LTD,1.0,50.0
16123,BHARATWIRE,BHARAT WIRE ROPES LTD.,1.0,1.0
10604,BHARTIARTL,BHARTI AIRTEL LIMITED,1.0,10.0
23489,BHARTIHEXA,BHARTI HEXACOM LIMITED,1.0,10.0
438,BHEL,BHEL,1.0,5.0
18431,BIGBLOC,BIGBLOC CONSTRUCTION LTD,1.0,1.0
11966,BIKAJI,BIKAJI FOODS INTERN LTD,1.0,5.0
11373,BIOCON,BIOCON LIMITED.,1.0,5.0
4136,BIOFILCHEM,BIOFIL CHEM & PHARMA LTD,1.0,1.0
477,BIRLACABLE,BIRLA CABLE LIMITED,1.0,1.0
480,BIRLACORPN,BIRLA CORPORATION LTD,1.0,10.0
15239,BIRLAMONEY,ADITYA BIRLA MONEY LTD,1.0,1.0
1455,BIRLANU,BIRLANU LIMITED,1.0,10.0
27144,BLACKBUCK,ZINKA LOGISTICS SOL LTD,1.0,5.0
15067,BLAL,BEML LAND ASSETS LIMITED,1.0,1.0
8132,BLBLIMITED,BLB LIMITED,1.0,1.0
19265,BLISSGVS,BLISS GVS PHARMA LTD,1.0,1.0
13290,BLKASHYAP,B.L.KASHYAP & SON LTD,1.0,1.0
17279,BLS,BLS INTL SERVS LTD,1.0,5.0
22566,BLSE,BLS E-SERVICES LIMITED,1.0,1.0
495,BLUEDART,BLUE DART EXPRESS LTD,1.0,50.0
19686,BLUEJET,BLUE JET HEALTHCARE LTD,1.0,5.0
8311,BLUESTARCO,BLUE STAR LIMITED,1.0,10.0
25017,BODALCHEM,BODAL CHEMICALS LTD,1.0,1.0
513,BOMDYEING,BOMBAY DYEING & MFG. CO L,1.0,1.0
19401,BOROLTD,BOROSIL LIMITED,1.0,5.0
3149,BORORENEW,BOROSIL RENEWABLES LTD,1.0,5.0
24014,BOROSCI,BOROSIL SCIENTIFIC LTD,1.0,1.0
2181,BOSCHLTD,BOSCH LIMITED,1.0,500.0
526,BPCL,BHARAT PETROLEUM CORP  LT,1.0,5.0
530,BPL,BPL LTD,1.0,1.0
15184,BRIGADE,BRIGADE ENTER. LTD,1.0,10.0
547,BRITANNIA,BRITANNIA INDUSTRIES LTD,1.0,50.0
19585,BSE,BSE LIMITED,1.0,10.0
3001,BSE500IETF,ICICIPRAMC - ICICI500,1.0,1.0
809,BSHSL,BOMBAY SUPER HYBRID SEEDS,1.0,1.0
23804,BSLGOLDETF,ADITYBIRLA SL GOLD ETF-GR,1.0,1.0
24781,BSLNIFTY,ADITYBIRLA SL NIF ETF-GR,1.0,1.0
5957,BSLSENETFG,BIRLASLAMC - BSLSENETFG,1.0,1.0
6994,BSOFT,BIRLASOFT LIMITED,1.0,5.0
14150,BTML,BODHI TREE MULTIMEDIA LTD,1.0,1.0
2716,BUTTERFLY,BTRFLY GANDHI APPL LTD,1.0,5.0
15073,BVCL,BARAK VALLEY CEM. LTD.,1.0,1.0
7919,BYKE,THE BYKE HOSPITALITY LTD,1.0,1.0
6216,CAMLINFINE,CAMLIN FINE SCIENCES LTD,1.0,1.0
9362,CAMPUS,CAMPUS ACTIVEWEAR LIMITED,1.0,5.0
342,CAMS,COMPUTER AGE MNGT SER LTD,1.0,10.0
10794,CANBK,CANARA BANK,1.0,1.0
583,CANFINHOME,CAN FIN HOMES LTD,1.0,5.0
20160,CANTABIL,CANTABIL RETAIL LTD,1.0,1.0
21749,CAPACITE,CAPACITE INFRAPROJECT LTD,1.0,5.0
22675,CAPITALSFB,CAPITAL SMALL FIN BANK L,1.0,5.0
3906,CAPLIPOINT,CAPLIN POINT LAB LTD.,1.0,10.0
595,CARBORUNIV,CARBORUNDUM UNIVERSAL LTD,1.0,5.0
29113,CARERATING,CARE RATINGS LIMITED,1.0,10.0
28879,CARRARO,CARRARO INDIA LIMITED,1.0,5.0
5407,CARTRADE,CARTRADE TECH LIMITED,1.0,10.0
1879,CARYSIL,CARYSIL LIMITED,1.0,5.0
30139,CASHIETF,ICICIPRAMC - CASHIETF,1.0,1.0
1250,CASTROLIND,CASTROL INDIA LIMITED,1.0,1.0
14992,CCCL,CONS. CONST. CONSORT LTD,1.0,1.0
6385,CCHHL,COUNTRY CLUB HOSP HOL LTD,1.0,1.0
11452,CCL,CCL PRODUCTS (I) LTD,1.0,5.0
21174,CDSL,CENTRAL DEPO SER (I) LTD,1.0,10.0
15254,CEATLTD,CEAT LIMITED,1.0,10.0
24742,CEIGALL,CEIGALL INDIA LIMITED,1.0,1.0
13162,CELEBRITY,CELEBRITY FASHIONS LTD,1.0,1.0
19795,CELLO,CELLO WORLD LIMITED,1.0,5.0
619,CENTENKA,CENTURY ENKA LTD,1.0,5.0
11511,CENTEXT,CENTURY EXTRUSIONS LTD,1.0,1.0
14894,CENTRALBK,CENTRAL BANK OF INDIA,1.0,1.0
2454,CENTRUM,CENTRUM CAPITAL LIMITED,1.0,1.0
14982,CENTUM,CENTUM ELECTRONICS LTD,1.0,10.0
13305,CENTURYPLY,CENTURY PLYBOARDS (I) LTD,1.0,5.0
15039,CERA,CERA SANITARYWARE LTD,1.0,50.0
628,CESC,CESC LTD,1.0,1.0
28764,CEWATER,CONCORD ENVIRO SYSTEMS L,1.0,5.0
20329,CGCL,CAPRI GLOBAL CAPITAL LTD,1.0,1.0
